Title,Genre,Year,Score,Description
Everest,"Action, Adventure, Biography",2015,7.1,"The story of New Zealand's Robert ""Rob"" Edwin Hall, who on May 10, 1996, together with Scott Fischer, teamed up on a joint expedition to ascend Mount Everest."
Blue Jasmine,Drama,2013,7.3,"A New York socialite, deeply troubled and in denial, arrives in San Francisco to impose upon her sister. She looks a million, but isn't bringing money, peace, or love..."
Project X,Comedy,2012,6.7,"3 high school seniors throw a birthday party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads."
Hanna,"Action, Drama, Thriller",2011,6.8,"A sixteen-year-old girl who was raised by her father to be the perfect assassin is dispatched on a mission across Europe, tracked by a ruthless intelligence agent and her operatives."
Don't Breathe,"Crime, Horror, Thriller",2016,7.1,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems."
The Croods,"Animation, Action, Adventure",2013,7.2,"After their cave is destroyed, a caveman family must trek through an unfamiliar fantastical world with the help of an inventive boy."
It Follows,"Horror, Mystery",2014,6.9,A young woman is followed by an unknown supernatural force after a sexual encounter.
Lo imposible,"Drama, History, Thriller",2012,7.6,The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami.
Tinker Tailor Soldier Spy,"Drama, Mystery, Thriller",2011,7.1,"In the bleak days of the Cold War, espionage veteran George Smiley is forced from semi-retirement to uncover a Soviet Agent within MI6."
The Raid,"Action, Thriller",2011,7.6,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.
Fast & Furious 8,"Action, Crime, Thriller",2017,6.7,"When a mysterious woman seduces Dom into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before."
The Vow,"Drama, Romance",2012,6.8,"A car accident puts Paige in a coma, and when she wakes up with severe memory loss, her husband Leo works to win her heart again."
Wrath of the Titans,"Action, Adventure, Fantasy",2012,5.7,"Perseus braves the treacherous underworld to rescue his father, Zeus, captured by his son, Ares, and brother Hades who unleash the ancient Titans upon the world."
Unstoppable,"Action, Thriller",2010,6.8,"With an unmanned, half-mile-long freight train barreling toward a city, a veteran engineer and a young conductor race against the clock to prevent a catastrophe."
Ice Age: Continental Drift,"Animation, Adventure, Comedy",2012,6.6,"Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world."
Lion,"Biography, Drama",2016,8.1,"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia. 25 years later, he sets out to find his lost family."
Jurassic World: Fallen Kingdom,"Action, Adventure, Sci-Fi",2018,6.3,"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event."
Chef,"Adventure, Comedy, Drama",2014,7.3,"A head chef quits his restaurant job and buys a food truck in an effort to reclaim his creative promise, while piecing back together his estranged family."
Shame,Drama,2011,7.2,A man's carefully cultivated private life is disrupted when his sister arrives for an indefinite stay.
Solo: A Star Wars Story,"Action, Adventure, Fantasy",2018,7.0,"During an adventure into the criminal underworld, Han Solo meets his future co-pilot Chewbacca and encounters Lando Calrissian years before joining the Rebellion."
Life,"Horror, Sci-Fi, Thriller",2017,6.6,A team of scientists aboard the International Space Station discover a rapidly evolving life form that caused extinction on Mars and now threatens all life on Earth.
Knight and Day,"Action, Adventure, Comedy",2010,6.3,A young woman gets mixed up with a disgraced spy who is trying to clear his name.
Side Effects,"Crime, Drama, Mystery",2013,7.1,A young woman's world unravels when a drug prescribed by her psychiatrist has unexpected side effects.
Blue Valentine,"Drama, Romance",2010,7.4,"The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods."
Battle Los Angeles,"Action, Sci-Fi",2011,5.8,A squad of U.S. Marines becomes the last line of defense against a global invasion.
This Means War,"Action, Comedy, Romance",2012,6.3,A pair of C.I.A. operatives wage an epic battle against one another when they discover they are dating the same woman.
The Next Three Days,"Action, Crime, Drama",2010,7.4,A married couple's life is turned upside down when the wife is accused of a murder.
Ghost in the Shell,"Action, Drama, Sci-Fi",2017,6.4,"In the near future, Major Mila Killian is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals."
The Promise,"Drama, History",2016,6.1,"Set during the last days of the Ottoman Empire, The Promise follows a love triangle between Michael, a brilliant medical student, the beautiful and sophisticated Ana, and Chris - a renowned American journalist based in Paris."
Love & Other Drugs,"Comedy, Drama, Romance",2010,6.7,A young woman suffering from Parkinson's befriends a drug rep working for Pfizer in 1990s Pittsburgh.
G.I. Joe: Retaliation,"Action, Adventure, Sci-Fi",2013,5.8,The G.I. Joes are not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.
Hell or High Water,"Action, Crime, Drama",2016,7.6,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.
Jupiter Ascending,"Action, Adventure, Sci-Fi",2015,5.3,A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.
The Greatest Showman,"Biography, Drama, Musical",2017,7.7,Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.
Murder on the Orient Express,"Crime, Drama, Mystery",2017,6.5,"When a murder occurs on the train he's travelling on, celebrated detective Hercule Poirot is recruited to solve the case."
The Lobster,"Comedy, Drama, Romance",2015,7.1,"In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods."
The Woman in Black,"Drama, Fantasy, Horror",2012,6.4,A young solicitor travels to a remote village where he discovers the vengeful ghost of a scorned woman is terrorizing the locals.
The Babadook,"Drama, Horror",2014,6.8,"A widowed mother, plagued by the violent death of her husband, battles with her son's fear of a monster lurking in the house, but soon discovers a sinister presence all around her."
Percy Jackson & the Lightning Thief,"Adventure, Family, Fantasy",2010,5.9,A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.
Dracula Untold,"Action, Drama, Fantasy",2014,6.3,"As his kingdom is being threatened by the Turks, young prince Vlad Tepes must become a monster feared by his own people in order to obtain the power needed to protect his own family, and the families of his kingdom."
Shrek Forever After,"Animation, Adventure, Comedy",2010,6.3,Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpel rules supreme.
The Magnificent Seven,"Action, Adventure, Western",2016,6.9,Seven gunmen in the old west gradually come together to help a poor village against savage thieves.
Straight Outta Compton,"Biography, Drama, History",2015,7.9,"The group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood."
Taken 3,"Action, Thriller",2014,6.0,"Ex-government operative Bryan Mills is accused of a ruthless murder he never committed or witnessed. As he is tracked and pursued, Mills brings out his particular set of skills to find the true killer and clear his name."
Get Him to the Greek,"Adventure, Comedy, Music",2010,6.4,A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater.
Hidden Figures,"Biography, Drama, History",2016,7.8,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.
The Judge,"Crime, Drama",2014,7.4,"Big-city lawyer Hank Palmer returns to his childhood home where his father, the town's judge, is suspected of murder. Hank sets out to discover the truth and, along the way, reconnects with his estranged family."
Assassin's Creed,"Action, Adventure, Fantasy",2016,5.8,"Callum Lynch explores the memories of his ancestor Aguilar de Nerha and gains the skills of a Master Assassin, before taking on the secret Templar society."
King Arthur: Legend of the Sword,"Action, Adventure, Drama",2017,6.8,"Robbed of his birthright, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword from the stone, he is forced to acknowledge his true legacy - whether he likes it or not."
Ted 2,Comedy,2015,6.3,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law."
Tomorrowland: A World Beyond,"Action, Adventure, Family",2015,6.5,"Bound by a shared destiny, a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory."
Me Before You,"Drama, Romance",2016,7.4,A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.
A Million Ways to Die in the West,"Action, Comedy, Western",2014,6.1,"As a cowardly farmer begins to fall for the mysterious new woman in town, he must put his new-found courage to the test when her husband, a notorious gun-slinger, announces his arrival."
Mama,"Horror, Thriller",2013,6.2,A young couple take in their two nieces only to suspect that a supernatural spirit named Mama has latched itself to their family.
Mud,Drama,2012,7.4,Two young boys encounter a fugitive and form a pact to help him evade the vigilantes that are on his trail and to reunite him with his true love.
The Tree of Life,"Drama, Fantasy",2011,6.8,"The story of a family in Waco, Texas in 1956. The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings."
Lady Bird,"Comedy, Drama",2017,7.5,"In 2002, an artistically inclined seventeen-year-old girl comes of age in Sacramento, California."
Sausage Party,"Animation, Adventure, Comedy",2016,6.2,A sausage strives to discover the truth about his existence.
The Secret Life of Pets,"Animation, Adventure, Comedy",2016,6.5,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes."
Need for Speed,"Action, Crime, Thriller",2014,6.5,"Fresh from prison, a street racer who was framed by a wealthy business associate joins a cross country race with revenge in mind. His ex-partner, learning of the plan, places a massive bounty on his head as the race begins."
Black Mass,"Biography, Crime, Drama",2015,6.9,"The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf."
The Change-Up,"Comedy, Fantasy",2011,6.3,"Dave is a married man with three kids and a loving wife, and Mitch is a single man who is at the prime of his sexual life. One fateful night while Mitch and Dave are peeing in a fountain, lightning strikes and they switch bodies."
The Expendables 3,"Action, Adventure, Thriller",2014,6.1,"Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks, the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates."
Hot Tub Time Machine,"Comedy, Sci-Fi",2010,6.4,"A malfunctioning time machine at a ski resort takes a man back to 1986 with his two friends and nephew, where they must relive a fateful night and not change anything to make sure the nephew is born."
Anchorman 2: The Legend Continues,Comedy,2013,6.3,"With the 1970s behind him, San Diego's top-rated newsman, Ron Burgundy, returns to take New York City's first twenty-four-hour news channel by storm."
Immortals,"Action, Drama, Fantasy",2011,6.0,"Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity."
The Heat,"Action, Comedy, Crime",2013,6.6,An uptight FBI Special Agent is paired with a foul-mouthed Boston cop to take down a ruthless drug lord.
Resident Evil: Afterlife,"Action, Adventure, Horror",2010,5.9,"While still out to destroy the evil Umbrella Corporation, Alice joins a group of survivors living in a prison surrounded by the infected who also want to relocate to the mysterious but supposedly unharmed safe haven known only as Arcadia."
Tucker and Dale vs Evil,"Comedy, Horror",2010,7.6,Affable hillbillies Tucker and Dale are on vacation at their dilapidated mountain cabin when they are mistaken for murderers by a group of preppy college students.
Independence Day: Resurgence,"Action, Adventure, Sci-Fi",2016,5.2,"Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?"
Wind River,"Crime, Drama, Mystery",2017,7.7,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.
Melancholia,"Drama, Sci-Fi",2011,7.1,Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth.
Captain Fantastic,"Comedy, Drama",2016,7.9,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
The Hitman's Bodyguard,"Action, Comedy, Thriller",2017,6.9,"The world's top bodyguard gets a new client, a hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time."
Exodus: Gods and Kings,"Action, Adventure, Drama",2014,6.0,"The defiant leader Moses rises up against Egyptian Pharaoh Ramses II, setting six hundred thousand slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues."
Mission: Impossible - Fallout,"Action, Adventure, Thriller",2018,8.0,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong."
The Green Hornet,"Action, Comedy, Crime",2011,5.8,"Following the death of his father, Britt Reid, heir to his father's large company, teams up with his late dad's assistant Kato to become a masked crime fighting team."
The Ghost,"Drama, Mystery, Thriller",2010,7.2,"A ghost writer, hired to complete the memoirs of a former British Prime Minister, uncovers secrets that put his own life in jeopardy."
War Dogs,"Comedy, Crime, Drama",2016,7.1,"Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan."
RED 2,"Action, Comedy, Crime",2013,6.6,Retired C.I.A. Agent Frank Moses reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device.
The Legend of Tarzan,"Action, Adventure, Drama",2016,6.3,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment."
The Mummy,"Action, Adventure, Fantasy",2017,5.5,"An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia, and terrors that defy human comprehension."
Evil Dead,"Fantasy, Horror, Thriller",2013,6.5,"Five friends head to a remote cabin, where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods."
Relatos salvajes,"Comedy, Drama, Thriller",2014,8.1,Six short stories that explore the extremities of human behavior involving people in distress.
The Karate Kid,"Action, Drama, Family",2010,6.2,"Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master."
The Girl on the Train,"Crime, Drama, Mystery",2016,6.5,A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.
Date Night,"Comedy, Crime, Romance",2010,6.3,"In New York City, a case of mistaken identity turns a bored married couple's attempt at a glamorous and romantic evening into something more thrilling and dangerous."
Riddick,"Action, Sci-Fi, Thriller",2013,6.4,"Left for dead on a sun-scorched planet, Riddick finds himself up against an alien race of predators. Activating an emergency beacon alerts two ships: one carrying a new breed of mercenary, the other captained by a man from Riddick's past."
Rise of the Guardians,"Animation, Adventure, Family",2012,7.3,"When the evil spirit Pitch launches an assault on Earth, the Immortal Guardians team up to protect the innocence of children all around the world."
Ant-Man and the Wasp,"Action, Adventure, Comedy",2018,7.2,"As Scott Lang balances being both a Super Hero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past."
Abraham Lincoln: Vampire Hunter,"Action, Fantasy, Horror",2012,5.9,"Abraham Lincoln, the 16th President of the United States, discovers vampires are planning to take over the United States. He makes it his mission to eliminate them."
The Sorcerer's Apprentice,"Action, Adventure, Family",2010,6.1,Master sorcerer Balthazar Blake must find and train Merlin's descendant to defeat dark sorceress Morgana la Fée.
The VVitch: A New-England Folktale,"Horror, Mystery",2015,6.8,"A family in 1630s New England is torn apart by the forces of witchcraft, black magic and possession."
Madagascar 3: Europe's Most Wanted,"Animation, Adventure, Comedy",2012,6.9,"Alex, Marty, Gloria and Melman are still fighting to get home to their beloved Big Apple. Their journey takes them through Europe where they find the perfect cover: a traveling circus, which they reinvent - Madagascar style."
Horrible Bosses 2,"Comedy, Crime",2014,6.3,"Dale, Kurt and Nick decide to start their own business but things don't go as planned because of a slick investor, prompting the trio to pull off a harebrained and misguided kidnapping scheme."
Mother!,"Drama, Horror, Mystery",2017,6.6,"A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence."
The Mechanic,"Action, Crime, Thriller",2011,6.6,Follows an elite hit man as he teaches his trade to an apprentice who has a connection to one of his previous victims.
Atomic Blonde,"Action, Mystery, Thriller",2017,6.7,An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.
The Danish Girl,"Biography, Drama, History",2015,7.1,A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.
Bright,"Action, Crime, Fantasy",2017,6.4,A detective must work with an Orc to find a powerful wand before evil creatures do.
Fantastic Four,"Action, Adventure, Sci-Fi",2015,4.3,Four young outsiders teleport to an alternate and dangerous universe which alters their physical form in shocking ways. The four must learn to harness their new abilities and work together to save Earth from a former friend turned enemy.
Tomb Raider,"Action, Adventure, Fantasy",2018,6.4,"Lara Croft, the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she discovers the island where her father disappeared."
Buried,"Drama, Mystery, Thriller",2010,7.0,Paul is a U.S. truck driver working in Iraq. After an attack by a group of Iraqis he wakes to find he is buried alive inside a coffin. With only a lighter and a cell phone it's a race against time to escape this claustrophobic death trap.
Sin City: A Dame to Kill For,"Crime, Thriller",2014,6.5,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.
Man on a Ledge,"Action, Adventure, Crime",2012,6.6,"As a police psychologist works to talk down an ex-con who is threatening to jump from a Manhattan hotel rooftop, the biggest diamond heist ever committed is in motion."
Enemy,"Mystery, Thriller",2013,6.9,A man seeks out his exact look-alike after spotting him in a movie.
Underworld Awakening,"Action, Fantasy, Horror",2012,6.4,"When human forces discover the existence of the Vampire and Lycan clans, a war to eradicate both species commences. The vampire warrior Selene leads the battle against humankind."
Insidious: Chapter 2,"Horror, Mystery, Thriller",2013,6.6,"The Lamberts believe that they have defeated the spirits that have haunted their family, but they soon discover that evil is not beaten so easily."
Cinderella,"Drama, Family, Fantasy",2015,6.9,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her scheming step-sisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger."
Saving Mr. Banks,"Biography, Comedy, Drama",2013,7.5,"Author P.L. Travers reflects on her childhood after reluctantly meeting with Walt Disney, who seeks to adapt her Mary Poppins books for the big screen."
The Last Airbender,"Action, Adventure, Family",2010,4.1,"Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom."
Hercules,"Action, Adventure, Fantasy",2014,6.0,"Having endured his legendary twelve labors, Hercules, the Greek demigod, has his life as a sword-for-hire tested when the King of Thrace and his daughter seek his aid in defeating a tyrannical warlord."
Steve Jobs,"Biography, Drama",2015,7.2,"Steve Jobs takes us behind the scenes of the digital revolution, to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches, ending in 1998 with the unveiling of the iMac."
Miss Peregrine's Home for Peculiar Children,"Adventure, Drama, Fantasy",2016,6.7,"When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers."
War Horse,"Drama, History, War",2011,7.2,Young Albert enlists to serve in World War I after his beloved horse is sold to the cavalry. Albert's hopeful journey takes him out of England and to the front lines as the war rages on.
47 Ronin,"Action, Adventure, Drama",2013,6.3,A band of samurai set out to avenge the death and dishonor of their master at the hands of a ruthless shogun.
The Age of Adaline,"Drama, Fantasy, Romance",2015,7.2,"A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into."
Legend,"Biography, Crime, Drama",2015,7.0,Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.
Inferno,"Action, Adventure, Crime",2016,6.2,"When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot."
Call Me by Your Name,"Drama, Romance",2017,8.0,"In 1980s Italy, a romance blossoms between a seventeen year-old student and the older man hired as his father's research assistant."
The Way Way Back,"Comedy, Drama",2013,7.4,"Shy 14-year-old Duncan goes on summer vacation with his mother, her overbearing boyfriend, and her boyfriend's daughter. Having a rough time fitting in, Duncan finds an unexpected friend in Owen, manager of the Water Wizz water park."
Cars 2,"Animation, Adventure, Comedy",2011,6.2,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.
PK,"Comedy, Drama, Sci-Fi",2014,8.2,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.
Puss in Boots,"Animation, Action, Adventure",2011,6.6,"An outlaw cat, his childhood egg-friend and a seductive thief kitty set out in search for the eggs of the fabled Golden Goose to clear his name, restore his lost honor and regain the trust of his mother and town."
The Spectacular Now,"Comedy, Drama, Romance",2013,7.1,"A hard-partying high school senior's philosophy on life changes when he meets the not-so-typical ""nice girl."""
Valerian and the City of a Thousand Planets,"Action, Adventure, Fantasy",2017,6.5,"A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the universe."
The Drop,"Crime, Drama",2014,7.1,"Bob Saginowski finds himself at the center of a robbery gone awry and entwined in an investigation that digs deep into the neighborhood's past where friends, families, and foes all work together to make a living - no matter the cost."
Central Intelligence,"Action, Comedy, Crime",2016,6.3,"After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage."
Never Let Me Go,"Drama, Romance, Sci-Fi",2010,7.2,"The lives of three friends, from their early school days into young adulthood, when the reality of the world they live in comes knocking."
Remember Me,"Drama, Romance",2010,7.1,"A romantic drama centered on two new lovers: Tyler, whose parents have split in the wake of his brother's suicide, and Ally, who lives each day to the fullest since witnessing her mother's murder."
Unbroken,"Biography, Drama, Sport",2014,7.2,"After a near-fatal plane crash in WWII, Olympian Louis Zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the Japanese navy and sent to a prisoner-of-war camp."
The Master,Drama,2012,7.1,A Naval veteran arrives home from war unsettled and uncertain of his future - until he is tantalized by The Cause and its charismatic leader.
Deepwater Horizon,"Action, Drama, History",2016,7.1,"A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in American history."
Begin Again,"Comedy, Drama, Music",2013,7.4,"A chance encounter between a disgraced music-business executive and a young singer-songwriter, new to Manhattan, turns into a promising collaboration between the two talents."
Pitch Perfect 2,"Comedy, Music",2015,6.4,"After a humiliating commando performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform."
Game Night,"Action, Comedy, Crime",2018,7.0,A group of friends who meet regularly for game nights find themselves entangled in a real-life mystery when the shady brother of one of them is seemingly kidnapped by dangerous gangsters.
Grown Ups 2,Comedy,2013,5.4,"After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and four hundred costumed party crashers sometimes crazy follows you."
The Last Stand,"Action, Thriller",2013,6.4,"The leader of a drug cartel busts out of a courthouse and speeds to the Mexican border, where the only thing in his path is a sheriff and his inexperienced staff."
Winter's Bone,"Drama, Mystery",2010,7.2,An unflinching Ozark Mountain girl hacks through dangerous social terrain as she hunts down her drug-dealing father while trying to keep her family intact.
We Bought a Zoo,"Comedy, Drama, Family",2011,7.1,"Set in Southern California, a father moves his young family to the countryside to renovate and re-open a struggling zoo."
One Day,"Drama, Romance",2011,7.0,"After spending the night together on the night of their college graduation Dexter and Em are shown each year on the same date to see where they are in their lives. They are sometimes together, sometimes not, on that day."
The Chronicles of Narnia: The Voyage of the Dawn Treader,"Adventure, Family, Fantasy",2010,6.3,"Lucy and Edmund Pevensie return to Narnia with their cousin Eustace where they meet up with Prince Caspian for a trip across the sea aboard the royal ship The Dawn Treader. Along the way they encounter dragons, dwarves, merfolk, and a band of lost warriors before reaching the edge of the world."
Dear John,"Drama, Romance, War",2010,6.3,A romantic drama about a soldier who falls for a conservative college student while he's home on leave.
Foxcatcher,"Biography, Drama, Sport",2014,7.0,"U.S. Olympic wrestling champions and brothers Mark Schultz and Dave Schultz join ""Team Foxcatcher"", led by eccentric multi-millionaire John du Pont, as they train for the 1988 Olympic Games in Seoul, South Korea, but John's self-destructive behavior threatens to consume them all."
It's Kind of a Funny Story,"Comedy, Drama, Romance",2010,7.1,A clinically depressed teenager gets a new start after he checks himself into an adult psychiatric ward.
Spring Breakers,"Crime, Drama",2012,5.3,"Four college girls hold up a restaurant in order to fund their spring break vacation. While partying, drinking, and taking drugs, they are arrested, only to be bailed out by a drug and arms dealer."
Tower Heist,"Action, Comedy, Crime",2011,6.2,"When a group of hard-working guys find out they've fallen victim to their wealthy employer's Ponzi scheme, they conspire to rob his high-rise residence."
Carrie,"Drama, Horror",2013,5.9,"A shy girl, outcasted by her peers and sheltered by her religious mother, unleashes telekinetic terror on her small town after being pushed too far at her senior prom."
Resident Evil: Retribution,"Action, Horror, Sci-Fi",2012,5.4,Alice fights alongside a resistance movement to regain her freedom from an Umbrella Corporation testing facility.
Killing Them Softly,"Crime, Thriller",2012,6.2,"Jackie Cogan is an enforcer hired to restore order after three dumb guys rob a Mob protected card game, causing the local criminal economy to collapse."
The Purge: Anarchy,"Action, Horror, Sci-Fi",2014,6.5,"Three groups of people intertwine and are left stranded in the streets on Purge Night, trying to survive the chaos and violence that occurs."
Incredibles 2,"Animation, Action, Adventure",2018,8.0,Bob Parr (Mr. Incredible) is left to care for the kids while Helen (Elastigirl) is out saving the world.
Magic Mike,"Comedy, Drama",2012,6.1,"A male stripper teaches a younger performer how to party, pick up women, and make easy money."
Baywatch,"Action, Comedy, Crime",2017,5.6,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay."
Green Zone,"Action, Drama, Thriller",2010,6.8,Discovering covert and faulty intelligence causes a U.S. Army officer to go rogue as he hunts for Weapons of Mass Destruction in an unstable region.
Into the Woods,"Adventure, Comedy, Drama",2014,6.0,A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.
Jack the Giant Slayer,"Adventure, Fantasy",2013,6.3,"The ancient war between humans and a race of giants is reignited when Jack, a young farmhand fighting for a kingdom and the love of a princess, opens a gateway between the two worlds."
La piel que habito,"Drama, Horror, Thriller",2011,7.6,"A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession."
The Other Woman,"Comedy, Romance",2014,6.0,"After discovering her boyfriend is married, Carly soon meets the wife he's been betraying. And when yet another love affair is discovered, all three women team up to plot revenge on the three-timing S.O.B."
Let's Be Cops,"Comedy, Crime",2014,6.5,"Two struggling pals dress as police officers for a costume party and become neighborhood sensations. But when these newly-minted ""heroes"" get tangled in a real life web of mobsters and dirty detectives, they must put their fake badges on the line."
The Mortal Instruments: City of Bones,"Action, Fantasy, Horror",2013,5.9,"When her mother disappears, Clary Fray learns that she descends from a line of warriors who protect our world from demons. She joins forces with others like her and heads into a dangerous alternate New York called the Shadow World."
Devil,"Horror, Mystery, Thriller",2010,6.2,A group of people are trapped in an elevator and the Devil is mysteriously amongst them.
The Kids Are All Right,"Comedy, Drama, Romance",2010,7.0,Two children conceived by artificial insemination bring their biological father into their non-traditional family life.
Last Vegas,"Comedy, Drama",2013,6.6,Four friends take a break from their day-to-day lives to throw a bachelor party in Las Vegas for their last remaining single pal.
London Has Fallen,"Action, Thriller",2016,5.9,"In London for the Prime Minister's funeral, Mike Banning is caught up in a plot to assassinate all the attending world leaders."
Blue Is the Warmest Colour,"Drama, Romance",2013,7.8,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss."
Inside Llewyn Davis,"Drama, Music",2013,7.5,A week in the life of a young singer as he navigates the Greenwich Village folk scene of 1961.
